file,pred_xmin,pred_ymin,pred_xmax,pred_ymax,confidence,class,iou
0859-28_27-329&339_596&608-596&463_331&608_329&484_594&339-11_0_2_31_13_24_27-140-112.jpg,321,374,588,581,0.967946469783783,plate,0.7296
0461-18_37-220&444_451&611-451&611_254&545_220&444_417&510-0_0_27_22_29_29_30-31-4.jpg,239,475,429,580,0.8389749526977539,plate,0.5171
0574-24_47-234&402_484&594-444&498_234&594_274&498_484&402-0_0_16_2_24_29_25-74-48.jpg,261,433,466,560,0.8923925757408142,plate,0.5424
0421-25_35-412&293_613&468-613&468_429&382_412&293_596&379-19_21_2_10_29_32_27-163-120.jpg,423,305,606,453,0.9274170994758606,plate,0.77
0515-32_42-278&363_481&575-481&575_293&453_278&363_466&485-0_0_29_32_3_32_28-71-97.jpg,282,379,473,559,0.9532135725021362,plate,0.7989
0323-23_31-449&469_615&632-601&566_449&632_463&535_615&469-0_0_21_23_27_26_33-86-100.jpg,442,478,605,624,0.9152709245681763,plate,0.8111
0386-16_29-226&477_447&623-447&623_246&564_226&477_427&536-10_0_9_31_27_20_33-74-65.jpg,234,489,440,607,0.8941178917884827,plate,0.7534
0609-15_25-283&462_584&631-584&631_299&553_283&462_568&540-0_0_3_5_30_26_24-119-19.jpg,282,475,577,613,0.9193543195724487,plate,0.7954
0420-19_17-198&523_458&658-412&658_198&584_244&523_458&597-0_0_2_26_2_24_28-90-258.jpg,193,520,448,656,0.9025164842605591,plate,0.9102
0704-28_30-403&461_645&704-641&574_403&704_407&591_645&461-0_0_7_31_26_27_10-63-82.jpg,393,494,632,687,0.9684929847717285,plate,0.7277
1927-14_27-30&353_601&635-601&635_61&491_30&353_570&497-0_0_32_31_16_24_25-46-283.jpg,76,397,592,594,0.940699577331543,plate,0.6313
0207-31_27-298&436_412&588-412&522_305&588_298&502_405&436-0_0_7_21_28_31_31-122-112.jpg,296,460,401,577,0.8823031187057495,plate,0.6862
0267-26_33-295&477_446&625-437&554_295&625_304&548_446&477-0_0_30_29_21_29_30-78-25.jpg,288,490,440,614,0.8920024633407593,plate,0.7745
0869-14_45-199&443_579&634-579&634_265&552_199&443_513&525-11_0_8_27_4_25_27-55-15.jpg,241,467,556,613,0.9362408518791199,plate,0.6336
0138-20_25-449&549_566&648-566&648_454&607_449&549_561&590-0_0_28_30_26_27_32-95-74.jpg,446,560,564,643,0.884971022605896,plate,0.8067
0383-30_41-279&297_457&477-441&382_279&477_295&392_457&297-0_0_28_25_6_32_32-96-86.jpg,277,316,444,470,0.9325891733169556,plate,0.7855
0734-20_31-135&477_437&680-437&680_156&577_135&477_416&580-17_0_31_30_17_2_25-72-84.jpg,150,495,426,657,0.9573360085487366,plate,0.7293
0314-14_15-353&570_560&697-559&644_353&697_354&623_560&570-14_2_24_27_32_26_27-125-155.jpg,346,578,553,689,0.8648617267608643,plate,0.8202
0520-18_36-353&465_610&634-581&557_353&634_382&542_610&465-10_0_7_21_32_32_33-98-75.jpg,346,488,598,613,0.8930563926696777,plate,0.6912
0388-16_21-261&448_480&596-480&596_268&533_261&448_473&511-0_0_22_29_26_27_10-69-109.jpg,265,460,479,580,0.8893694281578064,plate,0.7923
0976-18_37-159&468_540&682-540&682_192&566_159&468_507&584-10_0_33_30_33_25_20-137-40.jpg,178,486,528,661,0.9650495648384094,plate,0.7512
0407-27_35-270&446_457&628-444&538_270&628_283&536_457&446-0_0_27_3_26_33_32-60-130.jpg,265,462,447,617,0.9360551238059998,plate,0.7882
0259-17_25-206&446_381&570-381&570_216&518_206&446_371&498-0_10_20_23_26_29_31-88-7.jpg,207,455,377,561,0.8726605176925659,plate,0.8304
0677-14_51-173&463_531&621-531&621_236&546_173&463_468&538-0_0_4_24_20_25_33-60-159.jpg,207,477,507,604,0.8428443670272827,plate,0.6736
0772-21_23-202&425_498&643-498&643_207&530_202&425_493&538-0_0_25_14_30_30_25-130-21.jpg,207,443,493,628,0.9769022464752197,plate,0.82
0441-30_44-256&428_453&615-453&615_278&513_256&428_431&530-0_0_0_33_32_33_33-113-38.jpg,266,442,442,597,0.9167284965515137,plate,0.7405
0344-24_43-300&489_492&639-466&564_300&639_326&564_492&489-0_0_0_32_33_32_1-101-82.jpg,311,503,475,627,0.8964194655418396,plate,0.7061
0515-32_16-196&438_408&641-385&641_196&522_219&438_408&557-0_0_33_13_27_26_32-154-125.jpg,191,456,408,637,0.9621238112449646,plate,0.8733
0281-43_31-371&398_489&597-466&597_371&507_394&398_489&488-0_0_24_3_24_33_24-140-92.jpg,381,422,479,582,0.8668666481971741,plate,0.6677
0486-18_20-181&460_420&630-420&630_185&552_181&460_416&538-0_0_10_22_30_27_24-57-24.jpg,189,477,412,607,0.9045089483261108,plate,0.7135
0436-27_30-256&436_451&623-451&623_260&522_256&436_447&537-3_0_21_7_31_26_29-97-45.jpg,260,453,455,612,0.943981409072876,plate,0.8185
0651-14_52-170&472_508&633-508&633_242&565_170&472_436&540-0_0_25_24_2_25_24-112-104.jpg,203,481,474,617,0.9053696990013123,plate,0.6773
0610-23_29-196&456_446&660-446&660_207&556_196&456_435&560-0_0_32_31_25_31_27-86-83.jpg,201,474,456,652,0.9616589546203613,plate,0.8263
0354-24_41-364&420_555&575-530&500_364&575_389&495_555&420-0_0_24_24_24_14_31-91-200.jpg,365,430,545,573,0.9145962595939636,plate,0.8694
0437-34_28-359&357_538&561-538&446_368&561_359&472_529&357-0_0_32_11_27_33_33-99-117.jpg,352,371,529,562,0.9376651644706726,plate,0.8495
0483-20_35-79&595_314&767-289&688_79&767_104&674_314&595-0_0_27_27_32_23_27-39-26.jpg,72,617,303,749,0.9013866782188416,plate,0.7152
0339-20_29-167&596_356&746-343&679_167&746_180&663_356&596-0_0_1_33_30_33_17-83-27.jpg,156,611,350,730,0.8874925971031189,plate,0.7342
0237-27_38-411&480_556&617-542&550_411&617_425&547_556&480-0_0_32_28_16_28_32-81-123.jpg,406,493,549,608,0.8829294443130493,plate,0.7764
0190-15_15-334&464_476&576-476&536_335&576_334&504_475&464-0_0_7_31_30_26_2-77-15.jpg,322,475,471,573,0.8787915110588074,plate,0.7861
0514-19_21-257&409_500&586-500&586_259&499_257&409_498&496-0_0_22_16_31_29_31-77-114.jpg,261,422,501,569,0.9344059824943542,plate,0.8141
0153-19_22-309&488_429&595-426&553_309&595_312&530_429&488-5_4_27_30_26_32_27-120-78.jpg,302,492,428,591,0.8858293294906616,plate,0.8705
0400-19_17-333&471_518&652-518&587_338&652_333&536_513&471-10_0_9_33_0_27_30-44-69.jpg,317,487,514,649,0.9497618079185486,plate,0.8128
0597-19_20-240&442_480&650-476&568_240&650_244&524_480&442-0_0_28_29_32_24_33-130-374.jpg,220,463,472,639,0.9727022647857666,plate,0.7641
0438-24_44-274&437_488&608-488&608_306&525_274&437_456&520-0_0_21_7_24_26_29-50-17.jpg,295,455,477,592,0.8478465676307678,plate,0.6814
0315-16_17-202&268_371&424-369&376_202&424_204&316_371&268-0_0_29_24_3_29_29-117-46.jpg,187,285,366,418,0.872439444065094,plate,0.7691
0288-21_25-265&467_429&614-429&614_270&551_265&467_424&530-0_0_32_24_33_11_30-126-125.jpg,261,476,457,602,0.8918794989585876,plate,0.7343
0408-21_51-248&459_471&612-471&612_295&542_248&459_424&529-0_0_7_30_20_32_24-83-93.jpg,271,474,451,599,0.8853250741958618,plate,0.6595
0781-26_18-256&393_517&643-517&521_275&643_256&515_498&393-0_0_19_7_32_30_30-139-268.jpg,243,426,504,635,0.9678601622581482,plate,0.7626
0316-20_38-323&473_508&616-508&616_350&557_323&473_481&532-0_0_7_26_3_25_30-62-36.jpg,329,487,501,606,0.8848592042922974,plate,0.7737
0166-27_43-256&533_375&650-375&650_274&597_256&533_357&586-0_0_26_28_9_27_27-71-129.jpg,261,540,370,644,0.8808714747428894,plate,0.8142
0345-19_30-226&459_400&625-378&571_226&625_248&513_400&459-0_0_29_32_15_26_25-150-12.jpg,225,484,385,615,0.8888724446296692,plate,0.7179
0601-26_16-213&414_450&626-431&626_213&515_232&414_450&525-12_8_15_27_33_25_24-134-64.jpg,223,428,450,605,0.9437090158462524,plate,0.7997
0630-28_45-154&421_389&645-389&645_188&535_154&421_355&531-0_0_6_17_33_26_31-108-57.jpg,183,449,367,612,0.9201158881187439,plate,0.5698
0492-14_29-308&467_582&617-582&617_330&551_308&467_560&533-3_7_20_30_32_30_24-118-187.jpg,319,473,575,610,0.9113134741783142,plate,0.8533
0451-18_38-298&471_535&630-503&561_298&630_330&540_535&471-0_0_24_27_25_21_33-121-74.jpg,299,484,522,623,0.9127355217933655,plate,0.8226
0367-34_32-216&393_372&590-372&484_220&590_216&499_368&393-0_0_21_23_24_28_29-98-437.jpg,201,407,367,591,0.9578267931938171,plate,0.8214
0623-23_31-291&511_545&716-531&610_291&716_305&617_545&511-0_0_32_23_30_29_27-108-106.jpg,280,531,533,700,0.9693383574485779,plate,0.7584
0508-32_32-200&329_392&550-391&430_200&550_201&449_392&329-0_0_10_30_32_28_17-123-125.jpg,186,354,392,543,0.9636756777763367,plate,0.805
0824-30_21-3&269_283&515-268&515_3&358_18&269_283&426-0_0_31_31_33_18_26-63-134.jpg,10,287,288,504,0.9507362842559814,plate,0.8467
0087-25_25-331&460_407&556-407&519_331&556_331&497_407&460-0_0_26_27_12_30_32-145-27.jpg,320,470,409,552,0.8706419467926025,plate,0.7453
0434-15_35-333&459_575&609-543&550_333&609_365&518_575&459-0_0_7_28_32_30_11-92-32.jpg,330,471,560,603,0.8996605277061462,plate,0.8165
0590-38_43-348&380_534&645-524&503_348&645_358&522_534&380-10_4_26_29_20_24_26-82-69.jpg,335,407,520,626,0.9436675310134888,plate,0.7225
0481-17_53-279&496_549&645-485&582_279&645_343&559_549&496-0_0_0_2_33_33_25-89-203.jpg,305,509,515,623,0.894724428653717,plate,0.5951
0479-34_49-332&401_520&614-520&614_360&504_332&401_492&511-0_0_2_15_27_29_33-45-83.jpg,349,426,503,585,0.9358717203140259,plate,0.6115
0498-27_52-290&394_515&579-515&579_334&486_290&394_471&487-0_0_14_26_24_28_30-104-30.jpg,312,419,498,561,0.9028139710426331,plate,0.6345
0591-14_35-181&463_486&625-450&555_181&625_217&533_486&463-0_0_24_24_25_15_33-35-113.jpg,176,478,465,615,0.9070508480072021,plate,0.7767
0444-23_27-321&448_526&629-519&544_321&629_328&533_526&448-1_12_15_26_31_25_32-99-200.jpg,315,462,521,618,0.9446580410003662,plate,0.8202
0610-19_36-260&413_527&604-496&519_260&604_291&498_527&413-0_3_23_22_26_33_30-126-174.jpg,259,442,505,582,0.9024062752723694,plate,0.6707
0769-28_31-233&383_486&637-480&502_233&637_239&518_486&383-0_0_33_31_32_11_33-57-198.jpg,214,406,482,630,0.9547901153564453,plate,0.814
0254-21_21-324&502_462&656-462&601_324&656_324&557_462&502-0_0_12_26_26_24_13-134-45.jpg,310,519,465,648,0.8508337140083313,plate,0.7593
0298-15_23-280&446_452&591-452&591_294&546_280&446_438&491-0_0_3_7_30_28_28-52-16.jpg,282,454,443,571,0.817566454410553,plate,0.7553
1508-23_21-194&335_577&664-577&498_201&664_194&501_570&335-0_0_0_33_30_24_24-116-234.jpg,165,410,553,636,0.9652896523475647,plate,0.6121
0354-22_22-208&475_398&631-398&631_208&554_208&475_398&552-13_3_2_33_15_32_32-125-191.jpg,207,481,401,623,0.9150174260139465,plate,0.8931
